houseid,mileage,census_d,census_r,drvrcnt,hhloc,hhsize,hh_0to4,hh_race,msasize,numadult,popdnsty,ref_age,ref_educ,ref_sex,wrkrcnt,hh_5to21,income,ntrip,pur_recr,pur_shop,pur_work,auttrcnt,pur_hbot,pur_nhb,no_trans,urban
10636,34,3,2,1,1,2,0,1,2,1,4,29,1,0,1,1,7500,10,0,4,1,1,3,2,0,1
10637,0,3,2,1,1,3,0,1,2,2,4,43,1,0,1,1,35571,0,0,0,0,1,0,0,0,1
10651,4,3,2,2,2,5,3,1,4,2,8,35,1,1,1,0,32500,4,0,0,4,2,0,0,0,1
10671,22,3,2,2,2,4,2,1,2,2,6,26,1,1,1,0,27500,6,0,2,2,2,2,0,0,1
10674,2924,3,2,3,3,4,0,1,94,2,1,44,2,1,3,2,100000,13,0,0,4,4,1,8,1,0
10676,176,3,2,2,2,4,0,1,5,4,2,50,2,1,1,0,35571,5,0,0,2,2,2,1,1,0
10684,61,3,2,2,2,2,0,1,1,2,2,28,1,1,2,0,17500,4,0,0,2,2,1,1,1,0
10690,0,3,2,1,3,2,0,1,94,2,1,59,1,1,1,0,27500,0,0,0,0,2,0,0,1,0
10692,0,3,2,1,3,2,0,1,94,2,3,59,1,1,1,0,35571,0,0,0,0,2,0,0,0,0
10725,40,9,4,1,2,5,2,3,5,2,7,33,1,1,0,1,12500,4,0,4,0,1,0,0,1,1
10728,12,9,4,1,2,2,0,1,5,2,10,74,1,0,0,0,39593,4,0,3,1,3,0,0,0,1
10732,4,9,4,1,2,1,0,1,5,1,10,66,1,0,0,0,7500,3,0,1,0,1,1,1,0,1
10738,3,9,4,2,1,6,0,3,5,3,6,38,1,1,3,3,39593,3,0,1,0,2,2,0,0,1
10739,0,9,4,1,2,1,0,1,5,1,6,19,1,1,1,0,7500,2,0,0,2,1,0,0,0,1
10745,64,9,4,1,1,3,0,2,5,1,4,40,1,0,2,2,39593,6,0,0,2,1,4,0,1,1
10762,20,9,4,2,2,3,0,1,5,3,8,30,1,1,2,0,62500,4,0,0,4,3,0,0,0,1
10765,75,9,4,2,2,6,2,1,5,2,7,29,1,1,2,2,39593,16,5,0,0,2,3,8,0,1
10775,37,9,4,2,2,2,0,1,5,2,7,33,2,1,2,0,72500,6,0,2,2,2,0,2,0,1
10790,82,9,4,2,2,4,1,1,5,2,6,30,1,0,1,1,32500,6,0,0,3,2,3,0,0,1
10792,68,9,4,3,2,3,0,1,5,2,7,47,2,0,2,1,39593,17,2,2,4,3,2,7,0,1
10833,126,9,4,1,1,3,0,1,5,2,10,50,2,1,1,1,100000,12,0,0,2,2,2,8,0,1
10836,74,9,4,1,2,2,0,1,5,2,6,32,2,1,1,0,47500,4,2,0,2,3,0,0,0,1
10847,51,9,4,1,2,1,0,1,4,1,10,42,1,0,1,0,47500,8,0,1,1,1,0,6,0,1
